,cases,deaths,recovered,active
cases,1.0,0.8863430550586091,0.9200060359085158,0.37593651241876597
deaths,0.8863430550586091,1.0,0.8292823377298013,0.29450514666224703
recovered,0.9200060359085158,0.8292823377298013,1.0,-0.017256892139622892
active,0.37593651241876597,0.29450514666224703,-0.017256892139622892,1.0
